Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
"5dPz35akJjPqb17yeqNwqH,""1uNFoZAHBGtllmzznpCI3s"",""Ghost"",""Justice"",""Justin Bieber"",2021-03-19,153190,77,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop"",0.604,0.741,2,-5.571,1,0.0475,0.178,0.0000349,0.409,0.473,153.947,4"
"5HCyWlXZPP0y6Gqq8TgA20,""2tIP7SsRs7vjIcLrU85W8J,1uNFoZAHBGtllmzznpCI3s"",""STAY (with Justin Bieber)"",""STAY (with Justin Bieber)"",""The Kid LAROI,Justin Bieber"",2021-07-09,141805,87,spotify:user:,2023-03-07T21:55:56Z,""australian hip hop,canadian pop,pop"",0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,4"
"09CtPGIpYB4BrO8qb1RGsF,""1uNFoZAHBGtllmzznpCI3s"",""Sorry"",""Purpose (Deluxe)"",""Justin Bieber"",2015-11-13,200786,83,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop"",0.654,0.76,0,-3.669,0,0.045,0.0797,0,0.299,0.41,99.945,4"
"4umIPjkehX1r7uhmGvXiSV,""1uNFoZAHBGtllmzznpCI3s,0VRj0yCOv2FXJNP47XQnx5"",""Intentions (feat. Quavo)"",""Changes"",""Justin Bieber,Quavo"",2020-02-14,212866,77,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop,atl hip hop,melodic rap,rap,trap"",0.806,0.546,9,-6.637,1,0.0575,0.3,0,0.102,0.874,147.986,4"
"4EDTT4kSqfpc0FKuxfNo2E,""4Gso3d4CscCijv0lmajZWs,1uNFoZAHBGtllmzznpCI3s,1RyvyyTE3xzB2ZywiAwp0i"",""Private Landing (feat. Justin Bieber & Future)"",""Private Landing (feat. Justin Bieber & Future)"",""Don Toliver,Justin Bieber,Future"",2023-02-23,238253,66,spotify:user:,2023-03-07T21:55:56Z,""rap,trap,canadian pop,pop,atl hip hop,hip hop,southern hip hop"",0.858,0.641,1,-4.31,0,0.0954,0.111,0.0000212,0.109,0.445,136.991,4"
"4B0JvthVoAAuygILe3n4Bs,""1uNFoZAHBGtllmzznpCI3s"",""What Do You Mean?"",""Purpose (Deluxe)"",""Justin Bieber"",2015-11-13,205680,80,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop"",0.845,0.567,5,-8.118,0,0.0956,0.59,0.00142,0.0811,0.793,125.02,4"
"4u4NyuceXP7Uzh7XFJKCr1,""1uNFoZAHBGtllmzznpCI3s"",""Hold On"",""Hold On"",""Justin Bieber"",2021-03-05,170813,73,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop"",0.658,0.634,1,-5.797,0,0.0413,0.0106,0,0.132,0.29,139.98,4"
"0lYBSQXN6rCTvUZvg9S0lU,""540vIaP2JwjQb9dm3aArA4,1uNFoZAHBGtllmzznpCI3s"",""Let Me Love You"",""Encore"",""DJ Snake,Justin Bieber"",2016-08-05,205946,85,spotify:user:,2023-03-07T21:55:56Z,""edm,electronic trap,pop,pop dance,canadian pop"",0.649,0.716,8,-5.371,1,0.0349,0.0863,0.0000263,0.135,0.163,99.988,4"
"4iJyoBOLtHqaGxP12qzhQI,""1uNFoZAHBGtllmzznpCI3s,20wkVLutqVOYrc0kxFs7rA,4fxd5Ee7UefO4CUXgwJ7IP"",""Peaches (feat. Daniel Caesar & Giveon)"",""Justice"",""Justin Bieber,Daniel Caesar,Giveon"",2021-03-19,198081,85,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop,canadian contemporary r&b,r&b"",0.677,0.696,0,-6.181,1,0.119,0.321,0,0.42,0.464,90.03,4"
"3e10Ct9oFcIdgFjkDUBV2k,""1uNFoZAHBGtllmzznpCI3s"",""Beautiful Love - Free Fire"",""Beautiful Love (Free Fire)"",""Justin Bieber"",2022-08-30,207837,68,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop"",0.789,0.602,4,-7.465,0,0.0477,0.0568,0.00000101,0.108,0.525,111.022,4"
"6Bjtr3tPdto5nyuLYf61sN,""738wLrAtLtCtFOLvQBXOXp,1uNFoZAHBGtllmzznpCI3s,0bdfiayQAKewqEvaU6rXCv"",""Cold Water (feat. Justin Bieber & MØ)"",""Cold Water (feat. Justin Bieber & MØ)"",""Major Lazer,Justin Bieber,MØ"",2016-07-22,185351,73,spotify:user:,2023-03-07T21:55:56Z,""dance pop,edm,electro house,moombahton,pop,pop dance,tropical house,canadian pop,danish pop,electropop"",0.608,0.798,6,-5.092,0,0.0432,0.0736,0,0.156,0.501,92.943,4"
"2KdKh9vHbKW0tZLqtpxxI0,""1uNFoZAHBGtllmzznpCI3s,4Gso3d4CscCijv0lmajZWs"",""Honest (feat. Don Toliver)"",""Honest"",""Justin Bieber,Don Toliver"",2022-04-29,193322,70,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop,rap,trap"",0.81,0.655,8,-6.779,0,0.0698,0.127,0.0000816,0.105,0.809,150.002,4"
"6epn3r7S14KUqlReYr77hA,""1uNFoZAHBGtllmzznpCI3s,3ipn9JLAPI5GUEo4y4jcoi"",""Baby"",""My World 2.0"",""Justin Bieber,Ludacris"",2010-01-01,214240,83,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop,atl hip hop,dance pop,dirty south rap,hip hop,old school atlanta hip hop,pop rap,rap,southern hip hop,trap"",0.728,0.859,5,-5.237,0,0.137,0.0401,0,0.111,0.535,65.043,4"
"50kpGaPAhYJ3sGmk6vplg0,""1uNFoZAHBGtllmzznpCI3s"",""Love Yourself"",""Purpose (Deluxe)"",""Justin Bieber"",2015-11-13,233720,85,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop"",0.609,0.378,4,-9.828,1,0.438,0.835,0,0.28,0.515,100.418,4"
"5u1n1kITHCxxp8twBcZxWy,""1uNFoZAHBGtllmzznpCI3s,1anyVhU62p31KFi8MEzkbf"",""Holy (feat. Chance The Rapper)"",""Holy"",""Justin Bieber,Chance the Rapper"",2020-09-18,212093,73,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop,chicago rap,conscious hip hop,hip hop,pop rap,rap"",0.673,0.704,6,-8.056,1,0.36,0.196,0,0.0898,0.372,86.919,4"
"16wAOAZ2OkqoIDN7TpChjR,""1uNFoZAHBGtllmzznpCI3s"",""Yummy"",""Changes"",""Justin Bieber"",2020-02-14,208520,70,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop"",0.676,0.506,9,-6.652,0,0.0958,0.345,0,0.118,0.497,145.842,4"
"24OeEKPQ8qqNZnPevRHxUT,""1uNFoZAHBGtllmzznpCI3s,0tvpihdAsKiNnP6sWS3jUI"",""Red Eye (feat. TroyBoi)"",""Justice (The Complete Edition)"",""Justin Bieber,TroyBoi"",2021-10-08,187452,66,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop,bass trap,electronic trap"",0.815,0.816,5,-4.393,0,0.0513,0.0501,0.000887,0.0761,0.774,96.033,4"
"3UGIZ8qcrMTwzLbx6Kttqt,""1uNFoZAHBGtllmzznpCI3s"",""Boyfriend"",""Believe"",""Justin Bieber"",2012-01-01,171333,75,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop"",0.717,0.55,10,-6.019,0,0.0521,0.0358,0.00196,0.126,0.332,96.976,4"
"4y4spB9m0Q6026KfkAvy9Q,""1uNFoZAHBGtllmzznpCI3s,5CiGnKThu5ctn9pBxv7DGa"",""Lonely (with benny blanco)"",""Lonely (with benny blanco)"",""Justin Bieber,benny blanco"",2020-10-16,149297,73,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop"",0.631,0.239,11,-7.071,0,0.0398,0.864,0,0.116,0.0927,79.859,4"
"3DXncPQOG4VBw3QHh3S817,""0QHgL1lAIqAw0HtD7YldmP,1uNFoZAHBGtllmzznpCI3s,0VRj0yCOv2FXJNP47XQnx5,1anyVhU62p31KFi8MEzkbf,55Aa2cqylxrFIXC767Z865"",""I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)"",""Grateful"",""DJ Khaled,Justin Bieber,Quavo,Chance the Rapper,Lil Wayne"",2017-06-22,288600,72,spotify:user:,2023-03-07T21:55:56Z,""hip hop,miami hip hop,pop rap,rap,trap,canadian pop,pop,atl hip hop,melodic rap,chicago rap,conscious hip hop,new orleans rap"",0.609,0.668,7,-4.284,1,0.0367,0.0552,0,0.167,0.811,80.924,4"
"66hayvUbTotekKU3H4ta1f,""1HxJeLhIuegM3KgvPn8sTa,5he5w2lnU9x7JFhnwcekXX,5fMUXHkw8R8eOP2RNVYEZX,1uNFoZAHBGtllmzznpCI3s"",""Where Are Ü Now (with Justin Bieber)"",""Skrillex and Diplo present Jack Ü"",""Jack Ü,Skrillex,Diplo,Justin Bieber"",2015-02-24,250285,75,spotify:user:,2023-03-07T21:55:56Z,""edm,electro house,pop dance,brostep,complextro,electro,moombahton,tropical house,canadian pop,pop"",0.432,0.781,4,-4.038,0,0.0567,0.041,0.00000421,0.0789,0.197,139.432,4"
"3T03rPwlL8NVk1yIaxeD8U,""1uNFoZAHBGtllmzznpCI3s"",""Off My Face"",""Justice"",""Justin Bieber"",2021-03-19,156467,78,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop"",0.509,0.228,4,-8.68,1,0.0332,0.92,0,0.104,0.586,90.674,4"
"6rPO02ozF3bM7NnOV4h6s2,""4V8Sr092TqfHkfAA5fXXqG,4VMYDCV2IEDYJArk749S6m,1uNFoZAHBGtllmzznpCI3s"",""Despacito - Remix"",""Despacito Feat. Justin Bieber (Remix)"",""Luis Fonsi,Daddy Yankee,Justin Bieber"",2017-04-17,228826,73,spotify:user:,2023-03-07T21:55:56Z,""latin pop,puerto rican pop,latin hip hop,reggaeton,trap latino,urbano latino,canadian pop,pop"",0.653,0.816,2,-4.353,1,0.167,0.228,0,0.0967,0.816,178.085,4"
"0pwYLVXVknPSGUQb39cePC,""1uNFoZAHBGtllmzznpCI3s,0c173mlxpT3dSFRgMO8XPh"",""As Long As You Love Me"",""Believe (Deluxe Edition)"",""Justin Bieber,Big Sean"",2012-06-15,229466,69,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop,detroit hip hop,hip hop,pop rap,rap,southern hip hop,trap"",0.571,0.873,0,-3.382,0,0.1,0.0811,0,0.361,0.613,139.691,4"
"190jyVPHYjAqEaOGmMzdyk,""1uNFoZAHBGtllmzznpCI3s,0hCNtLu0JehylgoiP8L4Gh"",""Beauty And A Beat"",""Believe (Deluxe Edition)"",""Justin Bieber,Nicki Minaj"",2012-06-15,227986,78,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop,dance pop,hip pop,queens hip hop,rap"",0.602,0.843,0,-4.831,1,0.0593,0.000688,0.0000527,0.0682,0.526,128.003,4"
"31qCy5ZaophVA81wtlwLc4,""1uNFoZAHBGtllmzznpCI3s"",""Anyone"",""Anyone"",""Justin Bieber"",2021-01-01,190779,74,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop"",0.686,0.538,2,-8.026,1,0.0345,0.181,0.00000313,0.113,0.584,115.884,4"
"61uyGDPJ06MkxJtHgPmuyO,""1uNFoZAHBGtllmzznpCI3s"",""Company"",""Purpose (Deluxe)"",""Justin Bieber"",2015-11-13,208120,71,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop"",0.59,0.797,4,-4.901,0,0.0614,0.132,0,0.0846,0.425,94.948,4"
"4MmMxyew8yq1OEyJOMaX6M,""1uNFoZAHBGtllmzznpCI3s,6LuN9FCkKOj5PcnpouEgny"",""As I Am (feat. Khalid)"",""Justice"",""Justin Bieber,Khalid"",2021-03-19,174406,62,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop,pop r&b"",0.608,0.547,11,-8.151,1,0.0368,0.131,0,0.0974,0.108,99.947,4"
"3A7qX2QjDlPnazUsRk5y0M,""1Cs0zKBU1kc0i8ypK3B9ai,1uNFoZAHBGtllmzznpCI3s"",""2U (feat. Justin Bieber)"",""2U (feat. Justin Bieber)"",""David Guetta,Justin Bieber"",2017-06-09,194896,68,spotify:user:,2023-03-07T21:55:56Z,""big room,dance pop,edm,pop,pop dance,canadian pop"",0.548,0.65,8,-5.827,0,0.0591,0.219,0,0.225,0.557,144.937,4"
"5GYbkDveRD2I8M5ZJ14hWn,""1uNFoZAHBGtllmzznpCI3s,0xOeVMOz2fVg5BJY3N6akT"",""Never Say Never"",""Never Say Never - The Remixes"",""Justin Bieber,Jaden"",2011-01-01,227853,73,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop,pop rap,rap"",0.739,0.807,0,-5.063,1,0.0652,0.0181,0,0.295,0.632,97.048,4"
"59ltMnCjkPJqUM4pBlc1o2,""1uNFoZAHBGtllmzznpCI3s,4O15NlyKLIASxsJ0PrXPfz"",""There She Go (feat. Lil Uzi Vert)"",""Justice (Triple Chucks Deluxe)"",""Justin Bieber,Lil Uzi Vert"",2021-03-26,215019,57,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop,melodic rap,philly rap,rap"",0.727,0.716,9,-5.429,1,0.0346,0.00968,0,0.12,0.911,150.071,4"
"6tTeRmhhuwDl5Y4UiJdHuO,""5yOvAmpIR7hVxiS6Ls5DPO,1uNFoZAHBGtllmzznpCI3s"",""attention"",""attention"",""Omah Lay,Justin Bieber"",2022-03-03,180563,65,spotify:user:,2023-03-07T21:55:56Z,""afro dancehall,nigerian pop,canadian pop,pop"",0.817,0.72,5,-8.134,0,0.0809,0.172,0.000726,0.109,0.384,119.989,4"
"23EquxExXkNmGCCY96P0Iu,""1uNFoZAHBGtllmzznpCI3s"",""Hailey"",""Justice (The Complete Edition)"",""Justin Bieber"",2021-10-08,193354,69,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop"",0.462,0.745,0,-6.588,0,0.0699,0.0367,0,0.0795,0.254,100.042,4"
"4WghJOMjDpGdlk3b8aJIgy,""0cGUm45nv7Z6M6qdXYQGTX,1uNFoZAHBGtllmzznpCI3s"",""up at night (feat. justin bieber)"",""up at night (feat. justin bieber)"",""Kehlani,Justin Bieber"",2022-03-30,182226,64,spotify:user:,2023-03-07T21:55:56Z,""pop,r&b,rap,canadian pop"",0.563,0.756,0,-3.852,0,0.0579,0.196,0,0.245,0.234,100.012,4"
"1mSdbey7RstGLY2udgXv74,""3tVQdUvClmAT7URs9V3rsp,1uNFoZAHBGtllmzznpCI3s,687cZJR45JO7jhk1LHIbgq"",""Essence (feat. Justin Bieber & Tems)"",""Essence (feat. Justin Bieber & Tems)"",""Wizkid,Justin Bieber,Tems"",2021-08-13,263288,66,spotify:user:,2023-03-07T21:55:56Z,""afro dancehall,afropop,azonto,azontobeats,nigerian hip hop,nigerian pop,canadian pop,pop,afro r&b,alte"",0.835,0.691,0,-5.828,1,0.113,0.0159,0.0000144,0.108,0.581,103.999,4"
"5G99lkpldkHJx6o1Z37ts7,""1uNFoZAHBGtllmzznpCI3s,3JXpwnHbLvXxY99EuXqFPX"",""Angels Speak"",""Justice (The Complete Edition)"",""Justin Bieber,Poo Bear"",2021-10-08,231667,56,spotify:user:,2023-03-07T21:55:56Z,""canadian pop,pop,pop r&b"",0.522,0.243,1,-7.796,1,0.0461,0.874,0,0.098,0.569,119.341,3"
